"vereda_id","mun_id","anio","post","puntaje","puntaje_c","tratada","luminosidad","vel_descarga","vel_subida","latencia_ms","personas_conectadas","n_establecimientos","gasto_sustitutos","poblacion","hogares","ipm","dist_cabecera_km"
1,1,2024,0,68.662,4.452,1,3.635,14.5,3.7,87.8,108,4,63300,469,141,0.622,24.1
1,1,2026,1,68.662,4.452,1,3.71,20.7,6.5,84.8,92,9,50500,469,141,0.622,24.1
2,1,2024,0,74.874,10.663,1,1.997,4.6,3.5,94,36,1,78300,347,90,0.588,27.1
2,1,2026,1,74.874,10.663,1,2.155,19.3,8,71.8,61,4,49300,347,90,0.588,27.1
3,1,2024,0,60.748,-3.462,0,1.774,13.3,5.9,79.6,58,3,55500,294,86,0.482,30.2
3,1,2026,1,60.748,-3.462,0,2.926,13.2,5,82.1,62,3,47900,294,86,0.482,30.2
4,1,2024,0,39.774,-24.436,0,2.564,14.1,6.2,79.2,108,10,58300,560,167,0.41,16.3
4,1,2026,1,39.774,-24.436,0,3.656,12.4,6.6,69.6,183,12,48100,560,167,0.41,16.3
5,1,2024,0,50.622,-13.588,0,2.467,10.6,5.7,90.5,136,5,49600,670,176,0.489,30.5
5,1,2026,1,50.622,-13.588,0,2.96,13.2,4,77.2,248,11,53200,670,176,0.489,30.5
6,1,2024,0,68.631,4.421,1,1.747,12,3.9,88.5,38,5,61300,304,83,0.616,28
6,1,2026,1,68.631,4.421,1,3.423,23.8,6.2,73.8,109,5,44700,304,83,0.616,28
7,1,2024,0,39.587,-24.623,0,2.606,15.1,8.4,69.5,132,5,37500,440,122,0.469,29.8
7,1,2026,1,39.587,-24.623,0,3.236,18.5,6.9,63.8,113,10,34100,440,122,0.469,29.8
8,1,2024,0,40.018,-24.192,0,2.395,18.1,6.1,79.1,209,11,57700,509,148,0.415,13.4
8,1,2026,1,40.018,-24.192,0,2.142,21.7,8.3,73.7,179,6,52600,509,148,0.415,13.4
9,1,2024,0,61.968,-2.242,0,4.547,11.9,5.1,99,43,2,49000,291,70,0.541,25.3
9,1,2026,1,61.968,-2.242,0,3.136,23.7,5.1,96.7,68,4,43500,291,70,0.541,25.3
10,1,2024,0,38.101,-26.109,0,3.48,22.1,5.6,76.1,185,15,45800,1087,291,0.38,22.4
10,1,2026,1,38.101,-26.109,0,3.263,14.9,6,77.5,333,14,38200,1087,291,0.38,22.4
11,1,2024,0,63.389,-0.821,0,2.862,12,4.9,78.5,207,9,48300,911,261,0.579,32.5
11,1,2026,1,63.389,-0.821,0,2.885,7.7,5.3,88.6,154,7,47300,911,261,0.579,32.5
12,1,2024,0,68.21,3.999,1,1.437,11.7,4,90.5,75,8,66400,465,121,0.521,26.7
12,1,2026,1,68.21,3.999,1,2.864,19.1,7.7,64.5,95,7,46200,465,121,0.521,26.7
13,1,2024,0,60.915,-3.295,0,2.034,15,4.6,77.1,53,3,52400,355,106,0.585,21.7
13,1,2026,1,60.915,-3.295,0,2.469,14.4,3.4,74,80,7,48100,355,106,0.585,21.7
14,1,2024,0,71.072,6.862,1,2.636,7.4,3.2,86.6,53,2,69900,248,79,0.6,22.6
14,1,2026,1,71.072,6.862,1,2.467,17.9,7.5,72.5,60,2,59900,248,79,0.6,22.6
15,1,2024,0,83.047,18.837,1,1.96,7.1,0.2,114.6,9,1,74200,193,52,0.688,31.6
15,1,2026,1,83.047,18.837,1,1.99,18.6,4.1,84.1,36,1,58100,193,52,0.688,31.6
16,1,2024,0,54.523,-9.687,0,3.138,9.8,5.6,83.6,102,4,49600,427,124,0.561,26.2
16,1,2026,1,54.523,-9.687,0,4.519,15.8,4.9,83.9,118,8,44500,427,124,0.561,26.2
17,1,2024,0,74.736,10.526,1,1.729,12.9,2.3,109,13,1,58500,101,29,0.647,35.3
17,1,2026,1,74.736,10.526,1,2.506,20.8,6.5,68.5,25,0,47800,101,29,0.647,35.3
18,1,2024,0,56.403,-7.807,0,2.339,14.9,4.3,90.3,63,6,52900,440,117,0.534,20.3
18,1,2026,1,56.403,-7.807,0,3.905,18.5,5.6,71.1,79,4,49500,440,117,0.534,20.3
19,1,2024,0,57.014,-7.196,0,4.842,16.4,5.8,74.9,102,2,62400,337,96,0.55,22.3
19,1,2026,1,57.014,-7.196,0,3.882,11.3,5.6,69,91,3,50400,337,96,0.55,22.3
20,1,2024,0,53.187,-11.023,0,2.588,21.3,3.3,84.9,97,4,50000,560,147,0.487,20.5
20,1,2026,1,53.187,-11.023,0,4.968,19.2,5.7,80,112,9,56600,560,147,0.487,20.5
21,1,2024,0,9.531,-54.679,0,1.74,14.3,4.2,71.8,169,8,35200,472,127,0.236,5.5
21,1,2026,1,9.531,-54.679,0,2.463,14.7,5.6,63.9,135,7,21000,472,127,0.236,5.5
22,1,2024,0,75.18,10.97,1,2.123,2.6,3.4,98.5,47,2,64000,247,63,0.575,26.7
22,1,2026,1,75.18,10.97,1,3.945,14.6,8.1,84.9,101,5,58300,247,63,0.575,26.7
23,1,2024,0,73.399,9.189,1,1.236,4.2,3.3,103.4,54,4,63000,413,116,0.681,26.1
23,1,2026,1,73.399,9.189,1,2.67,11.8,6.7,75.3,107,8,33300,413,116,0.681,26.1
24,1,2024,0,64.437,0.227,1,2.216,12.3,8.6,94.5,75,10,62000,608,163,0.633,26.7
24,1,2026,1,64.437,0.227,1,3.835,24.8,10.3,74.5,124,12,49000,608,163,0.633,26.7
25,1,2024,0,46.351,-17.859,0,6.144,15.5,6.9,62.7,85,8,37400,501,134,0.491,22.6
25,1,2026,1,46.351,-17.859,0,3.319,17.4,7.9,51.5,155,5,52900,501,134,0.491,22.6
26,1,2024,0,39.955,-24.255,0,2.276,10,5.6,84.5,40,3,49700,183,48,0.443,16.1
26,1,2026,1,39.955,-24.255,0,2.873,17.9,4.8,75.3,60,5,44300,183,48,0.443,16.1
27,1,2024,0,60.857,-3.353,0,4.114,15.2,5,89.3,63,3,60100,302,84,0.531,26.8
27,1,2026,1,60.857,-3.353,0,3.361,16.3,5.8,81,56,2,67800,302,84,0.531,26.8
28,1,2024,0,68.943,4.733,1,1.532,12.8,3.1,93,136,9,65300,604,165,0.502,24.9
28,1,2026,1,68.943,4.733,1,2.894,20.8,7.3,71.7,190,10,43100,604,165,0.502,24.9
29,1,2024,0,65.733,1.523,1,4.406,8.2,6.4,88.4,44,5,53300,412,117,0.635,30.6
29,1,2026,1,65.733,1.523,1,3.322,24.3,8.9,74.1,106,5,43200,412,117,0.635,30.6
30,1,2024,0,63.634,-0.576,0,1.985,6.7,6.2,71.6,40,4,55700,241,64,0.537,23
30,1,2026,1,63.634,-0.576,0,2.576,13.6,5.1,74.6,46,4,55500,241,64,0.537,23
31,1,2024,0,58.936,-5.274,0,2.913,5.9,4.7,90.3,107,2,65400,300,87,0.475,22.3
31,1,2026,1,58.936,-5.274,0,3.655,12,5.2,89.3,65,4,50300,300,87,0.475,22.3
32,1,2024,0,40.16,-24.05,0,4.981,14.2,5.4,68.3,332,29,36100,1436,370,0.385,18.5
32,1,2026,1,40.16,-24.05,0,4.509,16.9,7.4,60.1,410,33,41200,1436,370,0.385,18.5
33,1,2024,0,78.488,14.278,1,0.752,6.4,2,87.7,58,4,88500,410,128,0.679,44
33,1,2026,1,78.488,14.278,1,1.422,14.7,5.4,76.7,99,3,67700,410,128,0.679,44
34,1,2024,0,51.668,-12.542,0,2.703,16.3,6.9,66.6,68,0,57100,266,72,0.572,23.1
34,1,2026,1,51.668,-12.542,0,2.927,13.4,7.4,64.4,85,2,49800,266,72,0.572,23.1
35,1,2024,0,64.334,0.124,1,3.458,10.6,5.5,90.2,300,12,63200,1059,279,0.544,25.3
35,1,2026,1,64.334,0.124,1,5.028,24.3,7.9,66.3,296,13,45900,1059,279,0.544,25.3
36,1,2024,0,71.774,7.564,1,1.564,10,3,80.3,37,3,64800,320,92,0.652,36.3
36,1,2026,1,71.774,7.564,1,2.062,19.6,6.9,67.7,116,9,48300,320,92,0.652,36.3
37,1,2024,0,54.456,-9.754,0,4.509,15.3,5.4,81.6,12,0,59700,89,24,0.55,19.2
37,1,2026,1,54.456,-9.754,0,4.354,19.6,4.5,76.3,16,2,56300,89,24,0.55,19.2
38,1,2024,0,34.905,-29.305,0,3.59,16.8,8.5,63.7,212,9,43300,575,184,0.338,17.1
38,1,2026,1,34.905,-29.305,0,2.394,16.5,7.8,56.5,237,8,43000,575,184,0.338,17.1
39,1,2024,0,58.468,-5.742,0,2.278,16.8,5.1,76.8,156,9,46400,760,195,0.514,19.6
39,1,2026,1,58.468,-5.742,0,1.99,17.8,4.4,69.7,178,12,49300,760,195,0.514,19.6
40,1,2024,0,43.299,-20.911,0,4.798,15.5,5.6,74.4,41,0,39200,167,47,0.459,19.1
40,1,2026,1,43.299,-20.911,0,6.655,15.2,6.1,86.6,47,2,41000,167,47,0.459,19.1
41,1,2024,0,68.596,4.386,1,2.978,8.3,3.7,72.4,70,2,49600,622,160,0.588,21.8
41,1,2026,1,68.596,4.386,1,3.834,17.4,6.9,62.4,153,7,32900,622,160,0.588,21.8
42,1,2024,0,26.81,-37.4,0,3.637,12.2,6.5,74.7,280,13,40400,727,208,0.406,23.4
42,1,2026,1,26.81,-37.4,0,2.22,14.5,6.3,62.2,176,23,29200,727,208,0.406,23.4
43,1,2024,0,57.825,-6.385,0,2.159,10.9,6.3,77.7,175,7,52600,441,118,0.546,25.9
43,1,2026,1,57.825,-6.385,0,2.3,15,4.7,59.1,155,3,50800,441,118,0.546,25.9
44,1,2024,0,62.917,-1.293,0,3.337,13.3,4.6,77,81,9,65100,553,131,0.514,22.8
44,1,2026,1,62.917,-1.293,0,3.053,11,5.6,88.8,144,8,52300,553,131,0.514,22.8
45,1,2024,0,56.39,-7.82,0,1.734,12.1,4,70.2,219,8,65200,600,170,0.537,24.2
45,1,2026,1,56.39,-7.82,0,2.386,12,5.4,68.5,201,5,52900,600,170,0.537,24.2
46,1,2024,0,54.51,-9.7,0,5.064,15.7,5.3,82.2,71,6,54400,287,80,0.592,21.5
46,1,2026,1,54.51,-9.7,0,4.705,16.6,5.9,85.1,84,3,40600,287,80,0.592,21.5
47,1,2024,0,52.438,-11.772,0,3.033,14,6.6,67.9,132,4,46300,616,183,0.502,21.8
47,1,2026,1,52.438,-11.772,0,4.075,14.2,7.3,80.4,155,8,61300,616,183,0.502,21.8
48,1,2024,0,49.516,-14.694,0,2.546,11.9,5.4,83.4,217,5,53700,619,162,0.508,27.4
48,1,2026,1,49.516,-14.694,0,4.365,17.2,5.6,73,179,6,36400,619,162,0.508,27.4
49,1,2024,0,68.808,4.598,1,3.042,12.8,3.3,90,119,5,60400,680,205,0.672,27.4
49,1,2026,1,68.808,4.598,1,3.661,18.5,7.2,65.7,250,10,36400,680,205,0.672,27.4
50,1,2024,0,57.319,-6.891,0,2.57,10.4,5.5,90.1,133,12,50600,598,162,0.502,18.7
50,1,2026,1,57.319,-6.891,0,2.916,13,3.6,70.4,129,5,49300,598,162,0.502,18.7
51,1,2024,0,64.087,-0.123,0,3.395,13.5,5.2,95.3,60,4,62300,329,92,0.54,24
51,1,2026,1,64.087,-0.123,0,2.137,16.9,3.9,75.9,51,4,46300,329,92,0.54,24
52,1,2024,0,72.06,7.85,1,3.001,10.6,3.8,93.3,17,1,64000,111,33,0.592,24.4
52,1,2026,1,72.06,7.85,1,3.269,22.7,8.4,72.7,18,0,47600,111,33,0.592,24.4
53,1,2024,0,24.407,-39.804,0,2.339,12.8,4.2,67.5,104,5,38800,290,86,0.327,11.7
53,1,2026,1,24.407,-39.804,0,3.632,17.9,4.8,72.1,137,2,44800,290,86,0.327,11.7
54,1,2024,0,55.278,-8.932,0,2.261,13.2,5.1,63,162,5,50400,545,142,0.553,22.2
54,1,2026,1,55.278,-8.932,0,2.669,18.4,7.5,75.9,153,6,47700,545,142,0.553,22.2
55,1,2024,0,65.174,0.964,1,2.927,9.4,4.2,94.6,199,6,59200,800,210,0.594,24.5
55,1,2026,1,65.174,0.964,1,3.252,22.8,8.8,78,242,12,36500,800,210,0.594,24.5
56,1,2024,0,66.15,1.94,1,2.316,12.2,4.6,91.8,102,6,58000,628,181,0.654,23.4
56,1,2026,1,66.15,1.94,1,4.11,24.3,9.1,68.4,213,9,41100,628,181,0.654,23.4
57,1,2024,0,60.888,-3.322,0,2.899,16.2,5.2,91.4,102,7,67700,490,147,0.553,29.8
57,1,2026,1,60.888,-3.322,0,2.516,11.3,6.7,83.2,117,3,61800,490,147,0.553,29.8
58,1,2024,0,62.844,-1.366,0,2.667,8.9,1.4,86.7,56,8,55900,415,101,0.557,20.6
58,1,2026,1,62.844,-1.366,0,3.336,15.4,3.4,71.1,74,3,44200,415,101,0.557,20.6
59,1,2024,0,33.813,-30.397,0,3.14,14.5,5.3,62.3,82,1,46400,277,73,0.304,14.8
59,1,2026,1,33.813,-30.397,0,2.549,15.5,6.3,64.1,90,3,41400,277,73,0.304,14.8
60,2,2024,0,71.134,9.282,1,1.262,12.6,4.7,84.9,122,5,62800,636,187,0.606,31
60,2,2026,1,71.134,9.282,1,1.951,17.7,8.3,69.1,117,4,59200,636,187,0.606,31
