"persona_id","anio","comuna","pos_x_km","pos_y_km","satisfaccion_vida","ice","formal","cotiza_ss","horas_sem","ingreso_lab","edad","mujer","educ_anios","estrato","s_comercio","s_manufactura","s_construccion","s_alojamiento","s_transporte","s_serv_domestico","s_salud_educ","s_finanzas_prof","g_comercio","g_manufactura","g_construccion","g_alojamiento","g_transporte","g_serv_domestico","g_salud_educ","g_finanzas_prof"
1,2022,5,5.4,12.132,8,76.8,1,1,36,1510000,24,0,10,2,0.1145,0.5808,0.0192,0.1162,0.0405,0.0408,0.0559,0.0321,4.5,3.2,6,9,5,1,3.5,4
2,2022,5,5.986,13.788,7,50.5,0,1,35,1650000,21,1,9,2,0.2408,0.4776,0.0126,0.0706,0.0664,0.0387,0.0345,0.0588,4.5,3.2,6,9,5,1,3.5,4
3,2022,8,9.487,6.693,6,54.6,1,0,52,880000,23,0,7,1,0.1951,0.0136,0.3183,0.0424,0.2147,0.0154,0.1208,0.0797,4.5,3.2,6,9,5,1,3.5,4
4,2022,14,7.163,8.844,7,56.7,1,1,51,1580000,49,0,9,3,0.4308,0.0497,0.0251,0.1511,0.1111,0.0625,0.1086,0.0611,4.5,3.2,6,9,5,1,3.5,4
5,2022,11,6.551,8.884,8,64.9,1,1,31,770000,31,1,4,3,0.3478,0.0765,0.0328,0.2142,0.0758,0.0814,0.0577,0.1138,4.5,3.2,6,9,5,1,3.5,4
6,2022,3,9.537,12.021,9,73.1,1,1,41,3360000,61,0,9,1,0.4611,0.0887,0.0201,0.0813,0.2427,0.0117,0.0575,0.0369,4.5,3.2,6,9,5,1,3.5,4
7,2022,7,5.519,11.922,7,63.9,1,1,40,1980000,34,0,9,1,0.2107,0.4692,0.0164,0.0476,0.1217,0.0418,0.0587,0.0339,4.5,3.2,6,9,5,1,3.5,4
8,2022,12,6.382,3.317,8,61.7,0,1,39,2930000,45,1,12,5,0.1101,0.0099,0.2124,0.0847,0.0126,0.0632,0.3323,0.1748,4.5,3.2,6,9,5,1,3.5,4
9,2022,20,4.238,10.946,7,60.5,0,1,39,1090000,32,0,10,3,0.3428,0.2866,0.0099,0.1013,0.0988,0.0664,0.0506,0.0436,4.5,3.2,6,9,5,1,3.5,4
10,2022,2,8.57,5.971,8,62.3,1,1,36,2200000,25,0,11,3,0.118,0.0187,0.2925,0.0542,0.0944,0.0429,0.1579,0.2214,4.5,3.2,6,9,5,1,3.5,4
11,2022,14,8.065,13.112,7,50.9,1,1,39,1380000,52,0,7,1,0.1055,0.4528,0.0621,0.0444,0.1667,0.0656,0.0684,0.0345,4.5,3.2,6,9,5,1,3.5,4
12,2022,8,9.072,3.587,10,64.8,1,1,51,1830000,38,1,8,3,0.1497,0.0197,0.3188,0.0679,0.0389,0.0274,0.1574,0.2202,4.5,3.2,6,9,5,1,3.5,4
13,2022,14,7.245,10.041,8,57.2,1,1,46,1090000,38,1,7,1,0.2854,0.1311,0.0213,0.2584,0.1604,0.0397,0.0385,0.0652,4.5,3.2,6,9,5,1,3.5,4
14,2022,12,6.843,3.125,6,56.5,1,1,49,1370000,52,0,14,5,0.0807,0.0042,0.2465,0.026,0.0252,0.106,0.3646,0.1468,4.5,3.2,6,9,5,1,3.5,4
15,2022,13,3.148,7.925,9,48.8,0,1,33,1740000,37,1,6,2,0.3457,0.0802,0.0217,0.1336,0.0835,0.2233,0.0872,0.0248,4.5,3.2,6,9,5,1,3.5,4
16,2022,16,5.106,14.415,10,66.3,1,1,41,1410000,32,0,9,2,0.1826,0.7074,0.0043,0.0188,0.0236,0.0179,0.0071,0.0383,4.5,3.2,6,9,5,1,3.5,4
17,2022,14,5.956,10.924,8,63.9,1,1,42,680000,43,1,7,3,0.2211,0.2848,0.0384,0.2387,0.0906,0.0564,0.0224,0.0476,4.5,3.2,6,9,5,1,3.5,4
18,2022,10,3.25,4.682,6,69.5,1,1,50,1260000,36,0,9,4,0.4529,0.0114,0.02,0.1348,0.035,0.1595,0.1105,0.0759,4.5,3.2,6,9,5,1,3.5,4
