colegio_id,anio,Y,D,tratado,post
1,2013,296.86,0,0,0
1,2014,290.1,0,0,0
1,2015,289.8,0,0,1
1,2016,290.63,0,0,1
1,2017,297.32,0,0,1
2,2013,281.93,0,1,0
2,2014,266.28,0,1,0
2,2015,278.35,1,1,1
2,2016,289.97,1,1,1
2,2017,288.26,1,1,1
3,2013,293.57,0,0,0
3,2014,290.7,0,0,0
3,2015,291.16,0,0,1
3,2016,293.97,0,0,1
3,2017,302.28,0,0,1
4,2013,291.15,0,0,0
4,2014,289.18,0,0,0
4,2015,292.66,0,0,1
4,2016,284.24,0,0,1
4,2017,287.4,0,0,1
5,2013,283.64,0,1,0
5,2014,292.76,0,1,0
5,2015,304.54,1,1,1
5,2016,310.14,1,1,1
5,2017,307.05,1,1,1
6,2013,281.06,0,0,0
6,2014,266.62,0,0,0
6,2015,274.67,0,0,1
6,2016,267.62,0,0,1
6,2017,272.46,0,0,1
7,2013,242.4,0,0,0
7,2014,247.93,0,0,0
7,2015,249.61,0,0,1
7,2016,262.67,0,0,1
7,2017,248.34,0,0,1
8,2013,263.06,0,1,0
8,2014,244.99,0,1,0
8,2015,270.92,1,1,1
8,2016,272.4,1,1,1
8,2017,274.22,1,1,1
9,2013,284.3,0,0,0
9,2014,293.94,0,0,0
9,2015,302.69,0,0,1
9,2016,295.91,0,0,1
9,2017,307.18,0,0,1
10,2013,311.2,0,0,0
10,2014,308.16,0,0,0
10,2015,306.92,0,0,1
10,2016,317.19,0,0,1
10,2017,318.77,0,0,1
11,2013,266.12,0,1,0
11,2014,258.67,0,1,0
11,2015,271.42,1,1,1
11,2016,282.21,1,1,1
11,2017,270.1,1,1,1
12,2013,257.2,0,0,0
12,2014,255.66,0,0,0
12,2015,261.02,0,0,1
12,2016,266.42,0,0,1
12,2017,267.52,0,0,1
13,2013,264.22,0,0,0
13,2014,275.99,0,0,0
13,2015,274.1,0,0,1
13,2016,281.05,0,0,1
13,2017,281.62,0,0,1
14,2013,273.97,0,0,0
14,2014,291.48,0,0,0
14,2015,289.46,0,0,1
14,2016,282.21,0,0,1
14,2017,282.13,0,0,1
15,2013,294.67,0,0,0
15,2014,295.5,0,0,0
15,2015,294.43,0,0,1
15,2016,292.79,0,0,1
15,2017,296.69,0,0,1
16,2013,292.56,0,1,0
16,2014,301.0,0,1,0
16,2015,299.13,1,1,1
16,2016,311.0,1,1,1
16,2017,310.75,1,1,1
17,2013,257.46,0,0,0
17,2014,259.65,0,0,0
17,2015,259.69,0,0,1
17,2016,265.48,0,0,1
17,2017,261.26,0,0,1
18,2013,258.71,0,0,0
18,2014,265.52,0,0,0
18,2015,265.49,0,0,1
18,2016,267.05,0,0,1
18,2017,272.43,0,0,1
19,2013,288.07,0,1,0
19,2014,273.25,0,1,0
19,2015,291.71,1,1,1
19,2016,289.42,1,1,1
19,2017,299.9,1,1,1
20,2013,271.05,0,0,0
20,2014,266.03,0,0,0
20,2015,283.04,0,0,1
20,2016,285.16,0,0,1
20,2017,285.82,0,0,1
21,2013,331.76,0,1,0
21,2014,331.39,0,1,0
21,2015,343.85,1,1,1
21,2016,346.02,1,1,1
21,2017,351.36,1,1,1
22,2013,309.1,0,1,0
22,2014,304.16,0,1,0
22,2015,311.22,1,1,1
22,2016,322.31,1,1,1
22,2017,317.1,1,1,1
23,2013,273.34,0,0,0
23,2014,275.61,0,0,0
23,2015,279.53,0,0,1
23,2016,281.46,0,0,1
23,2017,289.18,0,0,1
24,2013,303.56,0,1,0
24,2014,309.01,0,1,0
24,2015,313.92,1,1,1
24,2016,321.67,1,1,1
24,2017,319.54,1,1,1
25,2013,290.54,0,0,0
25,2014,293.36,0,0,0
25,2015,294.78,0,0,1
25,2016,303.31,0,0,1
25,2017,308.01,0,0,1
26,2013,300.68,0,0,0
26,2014,305.57,0,0,0
26,2015,291.02,0,0,1
26,2016,306.26,0,0,1
26,2017,301.49,0,0,1
27,2013,291.42,0,0,0
27,2014,293.27,0,0,0
27,2015,287.92,0,0,1
27,2016,294.29,0,0,1
27,2017,298.94,0,0,1
28,2013,299.45,0,1,0
28,2014,302.59,0,1,0
28,2015,316.52,1,1,1
28,2016,318.61,1,1,1
28,2017,325.91,1,1,1
29,2013,293.77,0,0,0
29,2014,289.81,0,0,0
29,2015,300.5,0,0,1
29,2016,309.03,0,0,1
29,2017,301.16,0,0,1
30,2013,272.25,0,1,0
30,2014,278.9,0,1,0
30,2015,294.32,1,1,1
30,2016,294.31,1,1,1
30,2017,286.63,1,1,1
31,2013,293.31,0,1,0
31,2014,286.11,0,1,0
31,2015,307.25,1,1,1
31,2016,306.46,1,1,1
31,2017,299.91,1,1,1
32,2013,273.08,0,0,0
32,2014,271.63,0,0,0
32,2015,274.44,0,0,1
32,2016,265.1,0,0,1
32,2017,279.44,0,0,1
33,2013,278.07,0,1,0
33,2014,282.67,0,1,0
33,2015,294.57,1,1,1
33,2016,297.82,1,1,1
33,2017,299.08,1,1,1
34,2013,294.02,0,0,0
34,2014,289.44,0,0,0
34,2015,295.64,0,0,1
34,2016,303.04,0,0,1
34,2017,301.3,0,0,1
35,2013,234.97,0,0,0
35,2014,235.56,0,0,0
35,2015,242.45,0,0,1
35,2016,244.54,0,0,1
35,2017,236.95,0,0,1
36,2013,271.81,0,0,0
36,2014,269.94,0,0,0
36,2015,270.42,0,0,1
36,2016,274.84,0,0,1
36,2017,271.23,0,0,1
37,2013,278.64,0,0,0
37,2014,287.76,0,0,0
37,2015,280.48,0,0,1
37,2016,292.62,0,0,1
37,2017,289.87,0,0,1
38,2013,294.14,0,1,0
38,2014,303.84,0,1,0
38,2015,318.37,1,1,1
38,2016,304.88,1,1,1
38,2017,319.69,1,1,1
39,2013,307.12,0,1,0
39,2014,306.75,0,1,0
39,2015,318.67,1,1,1
39,2016,319.97,1,1,1
39,2017,327.51,1,1,1
40,2013,299.67,0,1,0
40,2014,300.34,0,1,0
40,2015,310.99,1,1,1
40,2016,308.9,1,1,1
40,2017,311.87,1,1,1
41,2013,271.68,0,1,0
41,2014,267.59,0,1,0
41,2015,282.28,1,1,1
41,2016,289.57,1,1,1
41,2017,278.07,1,1,1
42,2013,270.91,0,1,0
42,2014,282.84,0,1,0
